Policy Number,Contract No.,Product Name,Is Unit Link,Plan Ccy,Payment Mode,Contract Issue Date,Contract Start Date,Paid-to-Date,Regular Premium,Single Premium,Policy Status,Total Premium Paid
44537,44537,Harvest 101 Investment Plan,Y,HKD,M,15/02/2012,12/02/2012,12/01/2018,4800,0,PH,115200
44544,44544,Harvest 101 Investment Plan,Y,HKD,M,02/02/2012,27/01/2012,27/01/2018,2767,0,PH,149418
44545,44545,Harvest 101 Investment Plan,Y,HKD,M,14/02/2012,12/02/2012,12/01/2018,2000,0,IF,135680
44805,44805,Harvest 101 Investment Plan,Y,HKD,M,16/02/2012,12/02/2012,12/01/2018,1440,0,IF,84960
44893,44893,Harvest 101 Investment Plan,Y,HKD,M,21/02/2012,20/02/2012,20/01/2018,3000,0,PH,165000
45319,45319,Harvest 101 Investment Plan,Y,HKD,M,08/03/2012,05/03/2012,05/01/2018,2800,0,IF,196000
45381,45381,Harvest 101 Investment Plan,Y,HKD,M,03/04/2012,27/03/2012,27/12/2017,720,0,IF,221120
45448,45448,Harvest 101 Investment Plan,Y,HKD,M,19/03/2012,12/03/2012,12/01/2018,720,0,IF,50400
46070,46070,Harvest 101 Investment Plan,Y,HKD,M,23/04/2012,20/04/2012,20/01/2018,720,0,PH,18720
46654,46654,Harvest 101 Investment Plan,Y,HKD,M,19/04/2012,12/04/2012,12/01/2018,1000,0,IF,69000
46837,46837,Harvest 101 Investment Plan,Y,HKD,M,23/05/2012,20/05/2012,20/01/2018,2000,0,IF,136000
46854,46854,Harvest 101 Investment Plan,Y,HKD,M,17/05/2012,12/05/2012,12/01/2018,1800,0,IF,209100
46978,46978,Harvest Supreme Investment Plan,Y,HKD,M,31/05/2012,05/05/2012,05/01/2018,15000,0,IF,1260000
47220,47220,Harvest 101 Investment Plan,Y,HKD,M,23/05/2012,20/05/2012,20/01/2018,2800,0,IF,190400
47221,47221,Harvest 101 Investment Plan,Y,HKD,M,18/05/2012,12/05/2012,12/01/2018,1720,0,IF,114080
47655,47655,Harvest 101 Investment Plan,Y,HKD,M,20/06/2012,20/06/2012,20/12/2017,2000,0,IF,132000
47665,47665,Harvest 101 Investment Plan,Y,HKD,M,12/06/2012,12/06/2012,12/12/2017,720,0,IF,47520
47692,47692,Harvest 101 Investment Plan,Y,HKD,M,14/06/2012,12/06/2012,12/01/2018,9600,0,PH,230400
47693,47693,Harvest 101 Investment Plan,Y,HKD,M,25/07/2012,20/07/2012,20/01/2018,1440,0,IF,98280
47846,47846,Harvest 101 Investment Plan,Y,HKD,M,22/06/2012,20/06/2012,20/01/2018,8000,0,IF,932000
47847,47847,Harvest 101 Investment Plan,Y,HKD,M,22/06/2012,20/06/2012,20/01/2018,9600,0,IF,643200
47848,47848,Harvest 101 Investment Plan,Y,HKD,M,11/07/2012,05/07/2012,05/01/2018,5000,0,PH,140000
48094,48094,Harvest 101 Investment Plan,Y,HKD,M,11/07/2012,05/07/2012,05/01/2018,2000,0,IF,132000
48276,48276,Harvest 101 Investment Plan,Y,HKD,M,12/07/2012,12/07/2012,12/01/2018,1000,0,IF,66000
48278,48278,Harvest 101 Investment Plan,Y,HKD,M,18/07/2012,12/07/2012,12/07/2012,2000,0,CF,0
48396,48396,Harvest 101 Investment Plan,Y,HKD,M,09/08/2012,05/08/2012,05/01/2018,4800,0,IF,312000
48413,48413,Harvest Supreme Investment Plan,Y,HKD,M,26/07/2012,20/07/2012,20/01/2018,25000,0,PH,450000
48414,48414,Harvest 101 Investment Plan,Y,HKD,M,23/07/2012,20/07/2012,20/01/2018,3500,0,IF,231000
48440,48440,Harvest 101 Investment Plan,Y,HKD,M,24/07/2012,20/07/2012,20/01/2018,2000,0,PH,70000
48441,48441,Harvest 101 Investment Plan,Y,HKD,M,24/07/2012,20/07/2012,20/01/2018,3000,0,IF,198000
48453,48453,Harvest 101 Investment Plan,Y,HKD,M,24/07/2012,20/07/2012,20/01/2018,6800,0,PH,380800
48485,48485,Harvest 101 Investment Plan,Y,HKD,M,26/07/2012,20/07/2012,20/01/2018,1000,0,IF,171000
48588,48588,Harvest Supreme Investment Plan,Y,HKD,M,09/08/2012,05/08/2012,05/01/2018,33000,0,PH,759000
48663,48663,Harvest 101 Investment Plan,Y,HKD,M,09/08/2012,05/08/2012,05/01/2018,4800,0,IF,312000
49032,49032,Harvest 101 Investment Plan,Y,HKD,M,10/08/2012,05/08/2012,05/01/2018,2000,0,IF,130000
49135,49135,Harvest 101 Investment Plan,Y,HKD,M,17/08/2012,12/08/2012,12/01/2018,1000,0,IF,380000
49168,49168,Harvest 101 Investment Plan,Y,HKD,M,05/09/2012,05/09/2012,05/01/2018,6800,0,IF,435200
49206,49206,Harvest 101 Investment Plan,Y,HKD,M,31/08/2012,27/08/2012,27/01/2018,2550,0,IF,165750
49256,49256,Harvest 101 Investment Plan,Y,HKD,M,31/08/2012,27/08/2012,27/12/2017,1000,0,IF,146000
49296,49296,Harvest 101 Investment Plan,Y,HKD,M,27/09/2012,27/09/2012,27/01/2018,16000,0,PH,352000
49375,49375,Harvest 101 Investment Plan,Y,HKD,M,29/08/2012,27/08/2012,27/12/2017,4800,0,IF,307200
49558,49558,Harvest 101 Investment Plan,Y,HKD,M,18/09/2012,12/09/2012,12/01/2018,2000,0,IF,128000
49655,49655,Wealth Amplifier Investment Plan,Y,HKD,-,18/09/2012,18/09/2012,18/09/2056,0,350000,IF,350000
50010,50010,Harvest 101 Investment Plan,Y,HKD,M,16/10/2012,12/10/2012,12/01/2018,4800,0,PH,158400
50015,50015,Harvest 101 Investment Plan,Y,HKD,M,10/10/2012,05/10/2012,05/01/2018,960,0,PH,114720
50447,50447,Harvest 101 Investment Plan,Y,HKD,M,09/10/2012,05/10/2012,05/01/2018,2500,0,IF,232500
50556,50556,Harvest Wealth Investment Plan,Y,HKD,M,24/10/2012,20/10/2012,20/01/2018,4800,0,PH,2054800
50557,50557,Harvest Wealth Investment Plan,Y,HKD,M,24/10/2012,20/10/2012,20/01/2018,4800,0,PH,2054800
50560,50560,Harvest 101 Investment Plan,Y,HKD,M,15/10/2012,12/10/2012,12/01/2018,1500,0,IF,331500
50707,50707,Harvest 101 Investment Plan,Y,HKD,M,19/10/2012,12/10/2012,12/10/2012,6800,0,CF,0
50829,50829,Harvest 101 Investment Plan,Y,HKD,M,26/10/2012,20/10/2012,20/01/2018,2000,0,IF,126000
52269,52269,Harvest 101 Investment Plan,Y,HKD,SA,20/12/2012,20/12/2012,20/06/2018,4320,0,IF,59280
52270,52270,Harvest Wealth Investment Plan,Y,HKD,M,14/12/2012,12/12/2012,12/01/2018,3000,0,PH,186000
52325,52325,Harvest Wealth Investment Plan,Y,HKD,M,31/12/2012,27/12/2012,27/01/2018,2400,0,PH,232800
52374,52374,Harvest 101 Investment Plan,Y,HKD,M,31/12/2012,27/12/2012,27/01/2018,2000,0,PH,92000
52569,52569,Harvest Wealth Investment Plan,Y,HKD,M,21/12/2012,20/12/2012,20/01/2018,8000,0,IF,488000
52664,52664,Harvest 101 Investment Plan,Y,HKD,M,28/12/2012,27/12/2012,27/01/2018,4800,0,IF,292800
52668,52668,Harvest Wealth Investment Plan,Y,HKD,M,28/12/2012,27/12/2012,27/12/2017,8000,0,IF,480000
53007,53007,Harvest 101 Investment Plan,Y,HKD,M,07/01/2013,05/01/2013,05/01/2018,3200,0,PH,121600
53008,53008,Harvest Wealth Investment Plan,Y,HKD,M,04/01/2013,27/12/2012,27/01/2018,3000,0,IF,273000
53009,53009,Harvest 101 Investment Plan,Y,HKD,M,14/01/2013,12/01/2013,12/01/2018,4800,0,PH,206400
53010,53010,Harvest Wealth Investment Plan,Y,HKD,M,07/01/2013,05/01/2013,05/01/2018,8000,0,IF,304000
53011,53011,Harvest Wealth Investment Plan,Y,HKD,M,11/01/2013,05/01/2013,05/01/2018,2500,0,PH,251000
53012,53012,Harvest Wealth Investment Plan,Y,HKD,M,23/01/2013,20/01/2013,20/01/2018,2500,0,PH,187000
53246,53246,Harvest Wealth Investment Plan,Y,HKD,M,16/01/2013,12/01/2013,12/01/2018,12500,0,PH,687500
54426,54426,Harvest Wealth Investment Plan,Y,HKD,M,14/03/2013,12/03/2013,12/01/2018,2400,0,PH,146400
54872,54872,Harvest Wealth Investment Plan,Y,HKD,M,09/04/2013,05/04/2013,05/01/2018,3000,0,IF,589000
55228,55228,Harvest Wealth Investment Plan,Y,HKD,M,09/04/2013,05/04/2013,05/01/2018,10000,0,IF,722000
55229,55229,Harvest Wealth Investment Plan,Y,HKD,M,16/04/2013,12/04/2013,12/01/2018,2500,0,IF,435000
55445,55445,Harvest Wealth Investment Plan,Y,HKD,M,19/04/2013,12/04/2013,12/01/2018,2400,0,PH,216000
55878,55878,Harvest 101 Investment Plan,Y,HKD,M,31/05/2013,27/05/2013,27/12/2017,1500,0,IF,82500
55954,55954,Harvest Wealth Investment Plan,Y,HKD,M,16/05/2013,12/05/2013,12/01/2018,12500,0,IF,700000
56031,56031,Harvest 101 Investment Plan,Y,USD,M,29/05/2013,27/05/2013,27/12/2017,260,0,IF,14300
56378,56378,Harvest 101 Investment Plan,Y,HKD,M,28/05/2013,27/05/2013,27/01/2018,2000,0,PH,54000
56379,56379,Harvest Wealth Investment Plan,Y,HKD,M,28/05/2013,27/05/2013,27/12/2017,2400,0,IF,423200
56469,56469,Harvest Wealth Investment Plan,Y,HKD,M,30/05/2013,27/05/2013,27/01/2018,2400,0,IF,256800
56565,56565,Harvest 101 Investment Plan,Y,HKD,M,03/06/2013,27/05/2013,27/01/2018,1100,0,PH,49500
56580,56580,Harvest 101 Investment Plan,Y,HKD,M,03/06/2013,27/05/2013,27/01/2018,1000,0,IF,56000
56615,56615,Harvest 101 Investment Plan,Y,HKD,M,04/06/2013,27/05/2013,27/12/2017,3200,0,IF,176000
56663,56663,Harvest 101 Investment Plan,Y,HKD,M,05/06/2013,05/06/2013,05/01/2018,720,0,IF,39600
57030,57030,Harvest Wealth Investment Plan,Y,HKD,M,20/06/2013,20/06/2013,20/01/2018,2400,0,IF,689900
57116,57116,Harvest 101 Investment Plan,Y,HKD,M,21/06/2013,20/06/2013,20/01/2018,720,0,IF,70320
57148,57148,Harvest Wealth Investment Plan,Y,HKD,M,11/07/2013,05/07/2013,05/01/2018,2500,0,IF,252500
57430,57430,Harvest 101 Investment Plan,Y,HKD,M,28/06/2013,27/06/2013,27/01/2018,720,0,PH,18000
57431,57431,Harvest Wealth Investment Plan,Y,HKD,M,28/06/2013,27/06/2013,27/12/2017,5500,0,IF,436500
58342,58342,Harvest Wealth Investment Plan,Y,HKD,M,29/07/2013,27/07/2013,27/01/2018,8000,0,PH,200000
58343,58343,Harvest 101 Investment Plan,Y,HKD,M,29/07/2013,27/07/2013,27/07/2013,2500,0,CF,0
58445,58445,Harvest Wealth Investment Plan,Y,HKD,M,31/07/2013,27/07/2013,27/01/2018,2400,0,IF,263900
58446,58446,Harvest Wealth Investment Plan,Y,HKD,M,07/08/2013,05/08/2013,05/01/2018,8000,0,PH,152000
58447,58447,Harvest Wealth Investment Plan,Y,HKD,M,31/07/2013,27/07/2013,27/10/2016,5000,0,DH,317500
58669,58669,Harvest Wealth Investment Plan,Y,HKD,M,08/08/2013,05/08/2013,05/01/2018,2400,0,IF,352900
59008,59008,Harvest 101 Investment Plan,Y,HKD,M,21/08/2013,20/08/2013,20/01/2018,2000,0,PH,66000
59196,59196,Harvest 101 Investment Plan,Y,HKD,M,30/08/2013,27/08/2013,27/01/2018,2000,0,IF,106000
59197,59197,Harvest Wealth Investment Plan,Y,HKD,M,29/08/2013,27/08/2013,27/12/2017,2400,0,IF,326400
59198,59198,Harvest Wealth Investment Plan,Y,HKD,M,29/08/2013,27/08/2013,27/01/2018,2400,0,PH,159200
59199,59199,Harvest Wealth Investment Plan,Y,HKD,M,06/09/2013,05/09/2013,05/01/2018,4800,0,IF,6200000
59443,59443,Harvest 101 Investment Plan,Y,HKD,M,06/09/2013,05/09/2013,05/01/2018,1000,0,IF,45000
59627,59627,Harvest 101 Investment Plan,Y,HKD,M,16/09/2013,12/09/2013,12/12/2017,1000,0,IF,51000
59765,59765,Harvest Wealth Investment Plan,Y,HKD,M,27/09/2013,27/09/2013,27/01/2018,2400,0,PH,160800
59766,59766,Harvest Wealth Investment Plan,Y,USD,M,24/09/2013,20/09/2013,20/01/2018,300,0,IF,86225
59858,59858,Harvest Wealth Investment Plan,Y,HKD,M,24/09/2013,20/09/2013,20/01/2018,8000,0,PH,392000
60050,60050,Harvest Wealth Investment Plan,Y,HKD,M,30/09/2013,27/09/2013,27/01/2018,4000,0,PH,228000
60897,60897,Harvest 101 Investment Plan,Y,HKD,M,29/10/2013,27/10/2013,27/01/2018,2000,0,IF,102000
60953,60953,Harvest Wealth Investment Plan,Y,HKD,M,30/10/2013,27/10/2013,27/11/2017,12500,0,IF,612500
61253,61253,Harvest Wealth Investment Plan,Y,USD,M,11/11/2013,05/11/2013,05/12/2017,2000,0,IF,122700
61337,61337,Harvest Wealth Investment Plan,Y,HKD,M,20/11/2013,20/11/2013,20/01/2018,2400,0,PH,146400
62245,62245,Harvest Wealth Investment Plan,Y,HKD,M,11/12/2013,05/12/2013,05/01/2018,2400,0,IF,1497000
62625,62625,Harvest Wealth Investment Plan,Y,HKD,M,23/12/2013,20/12/2013,20/01/2018,4000,0,IF,312000
62851,62851,Harvest Wealth Investment Plan,Y,HKD,M,10/01/2014,05/01/2014,05/01/2018,2400,0,IF,158400
62927,62927,Harvest Wealth Investment Plan,Y,HKD,M,27/12/2013,27/12/2013,27/12/2017,2400,0,IF,522000
62977,62977,Harvest Wealth Investment Plan,Y,HKD,M,30/12/2013,27/12/2013,27/01/2018,25000,0,IF,705200
63041,63041,Harvest 101 Investment Plan,Y,HKD,M,06/01/2014,05/01/2014,05/01/2018,2560,0,PH,61440
63042,63042,Harvest 101 Investment Plan,Y,HKD,M,30/12/2013,27/12/2013,27/01/2018,1300,0,PH,61100
63137,63137,Harvest Wealth Investment Plan,Y,HKD,M,02/01/2014,27/12/2013,27/01/2018,4000,0,IF,232000
63138,63138,Harvest Wealth Investment Plan,Y,HKD,M,02/01/2014,27/12/2013,27/12/2017,2400,0,IF,216000
63393,63393,Harvest Wealth Investment Plan,Y,HKD,M,17/01/2014,12/01/2014,12/01/2018,3000,0,PH,201000
63547,63547,Harvest Wealth Investment Plan,Y,HKD,M,17/01/2014,12/01/2014,12/01/2018,8000,0,PH,168000
63548,63548,Harvest 101 Investment Plan,Y,HKD,M,17/01/2014,12/01/2014,12/01/2018,2250,0,IF,108000
63563,63563,Harvest 101 Investment Plan,Y,HKD,M,17/01/2014,12/01/2014,12/01/2018,5000,0,IF,240000
63576,63576,Harvest 101 Investment Plan,Y,HKD,M,21/01/2014,20/01/2014,20/01/2018,19000,0,PH,456000
63577,63577,Wealth Amplifier Investment Plan,Y,HKD,-,20/01/2014,20/01/2014,20/01/2083,0,0,SU,255755
63596,63596,Harvest 101 Investment Plan,Y,HKD,M,28/01/2014,27/01/2014,27/01/2018,2500,0,PH,117500
63597,63597,Harvest 101 Investment Plan,Y,HKD,M,21/01/2014,20/01/2014,20/01/2018,1000,0,IF,48000
63598,63598,Harvest 101 Investment Plan,Y,HKD,M,21/01/2014,20/01/2014,20/01/2018,2000,0,IF,96000
63637,63637,Harvest 101 Investment Plan,Y,HKD,M,21/01/2014,20/01/2014,20/08/2014,4800,0,SU,33600
63638,63638,Harvest 101 Investment Plan,Y,HKD,M,25/02/2014,20/02/2014,20/01/2018,3000,0,IF,141000
