 Policy Number,PolicyNum,PTVPlanDesc,Status,Commencementdate,IssueDate,BasisType,PlanCurrency,PolicyFee,ApplicationDate,InitialPayDateReg,InitialPayDateSng,CurrentRegularPrem,RegularPremiumFreq,NextRenewalDate,LastPremPaidDate,PolicyTerm,PremiumsPaidTotal,SinglPremiumsTotal,UnsettledPremiums,PremOSTotal,Currentfundholding,CurrentSurrenderval,PremHolOption
8119766,8119766,Pacific,In force,42736,29/12/2016,SL,HKD,720,21/12/2016,29/12/2016,0,72000,Annual,43466,43435,64,144000,0,0,0,158299.56,0,N
8121807,8121807,Pacific,In force,42736,42856,SL,USD,90,29/12/2016,42856,0,24000,Annual,43466,43221,64,48000,0,0,0,61224.5,0,N
8124547,8124547,Pacific,In force,42736,43009,SL,USD,90,31/12/2016,43009,0,9000,Annual,43466,43221,66,18000,0,0,0,19777.73,0,N
8124565,8124565,Pacific,In force,42737,18/01/2017,SL,USD,90,31/12/2016,18/01/2017,0,24000,Annual,43467,17/01/2017,68,24000,0,0,0,37090.54,0,N
8124581,8124581,Pacific,In force,42738,28/02/2017,SL,USD,90,30/12/2016,28/02/2017,0,12000,Annual,43103,28/02/2017,67,12000,0,0,0,15894.32,0,N
8124735,8124735,Pacific,In force,42736,43070,SL,USD,90,42795,43070,0,1000,Monthly,43103,43040,57,12000,0,1000,0,16221.07,0,N
8127024,8127024,Pacific,In force,42374,42648,SL,HKD,720,26/04/2016,42648,0,8000,Monthly,43103,43221,66,168000,0,0,0,214312.25,0,N
8128241,8128241,Pacific,In force,42374,15/05/2016,SL,HKD,720,42587,15/05/2016,0,6000,Monthly,43103,43221,70,126000,0,0,0,151257.23,0,N
8129502,8129502,Pacific,In force,42737,17/01/2017,SL,USD,90,43009,17/01/2017,0,9000,Annual,43467,16/01/2017,79,9000,0,0,0,10692.68,0,N
8129502,8129502,Pacific,In force,42737,17/01/2017,SL,USD,90,43009,17/01/2017,0,9000,Annual,43467,16/01/2017,79,9000,0,0,0,10692.68,0,N
8137151,8137151,Pacific,In force,42375,42527,SL,HKD,720,42648,42527,0,4000,Monthly,43103,24/01/2018,71,84000,0,0,0,90281.48,0,N
8137552,8137552,Vista,In force,40186,16/08/2010,SL,HKD,720,23/07/2010,16/08/2010,0,4000,Monthly,43103,43221,25,613000,0,0,0,883733.72,0,N
8144050,8144050,Pacific,In force,42376,42650,SL,HKD,720,21/05/2016,42650,0,4000,Monthly,43103,43221,58,76000,0,0,0,81000.25,0,N
8148935,8148935,Pacific,In force,42375,15/06/2016,SL,HKD,720,31/05/2016,15/06/2016,0,4024.16,Monthly,43103,24/01/2018,60,84507.44,0,0,0,90873.48,0,N
8155982,8155982,Pacific,In force,42376,19/06/2016,SL,HKD,720,42649,19/06/2016,0,4000,Monthly,43103,43221,71,76000,0,0,0,82553.03,0,N
8161777,8161777,Pacific,In force,42377,20/07/2016,SL,HKD,720,23/06/2016,20/07/2016,0,4000,Monthly,43103,24/10/2017,66,64000,0,8000,0,68234.2,0,N
8161974,8161974,Pacific,In force,42376,42650,SL,USD,90,24/06/2016,42650,0,24000,Annual,43107,22/06/2017,66,48000,0,0,0,66499.53,0,N
8165955,8165955,Vista,In force,40188,40278,SL,HKD,720,14/09/2010,40278,0,3000,Monthly,43103,26/01/2015,20,289000,0,0,0,373336.11,0,N
8178228,8178228,Vista,In force,41651,24/11/2014,SL,HKD,720,41984,24/11/2014,0,14400,6 Monthly,43106,42898,25,283200,0,0,0,451686.5,0,N
8178236,8178236,Vista,In force,41651,18/11/2014,SL,HKD,720,41984,17/11/2014,0,28800,Annual,43112,42898,25,192000,0,0,0,245029.7,0,N
8178597,8178597,Vista,Premium ceased,41651,20/11/2014,SL,HKD,720,41893,20/11/2014,0,32500,Monthly,42376,24/05/2016,25,585000,0,0,0,1125291.84,0,N
8191615,8191615,Vista,Premium ceased,41651,25/11/2014,SL,HKD,720,16/10/2014,25/11/2014,0,5600,Monthly,42376,25/04/2016,25,100800,0,0,0,181016.66,0,N
8191624,8191624,Vista,In force,41651,20/11/2014,SL,HKD,720,41862,20/11/2014,0,5600,Monthly,43103,43221,25,212800,0,0,0,316965.48,0,N
8198369,8198369,Vista,In force,41651,41710,SL,HKD,720,16/11/2014,41710,0,2400,Monthly,43103,43221,25,171200,0,0,0,256332.94,0,N
8198475,8198475,Vista,Premium ceased,42005,28/12/2014,SL,HKD,720,18/11/2014,28/12/2014,0,10000,Monthly,42378,42528,25,190000,0,0,0,357470.77,0,N
8207784,8207784,Vista,In force,42005,21/12/2014,SL,HKD,720,25/11/2014,21/12/2014,0,5600,Monthly,43103,43221,25,207200,0,0,0,287050.62,0,N
8209884,8209884,Vista,In force,42005,17/12/2014,SL,HKD,720,26/11/2014,17/12/2014,0,5000,Monthly,43103,43221,25,385000,0,0,0,657884.15,0,N
8218009,8218009,Vista,In force,41651,14/12/2014,SL,HKD,720,41741,14/12/2014,0,390000,Annual,43112,43081,25,1560000,0,0,0,2206468.09,0,N
8219179,8219179,Vista,Premium ceased,41642,27/02/2014,SL,HKD,720,24/02/2014,27/02/2014,0,96000,Annual,42738,29/05/2015,25,192000,0,0,0,258851.89,0,N
8219358,8219358,Vista,In force,41651,15/12/2014,SL,HKD,720,41771,15/12/2014,0,5000,Monthly,43103,43221,25,290000,0,0,0,472715.29,0,N
8219366,8219366,Vista,In force,42005,17/12/2014,SL,HKD,720,41771,17/12/2014,0,3000,Monthly,43103,43221,25,291000,0,0,0,515510.37,0,N
8222219,8222219,Vista,In force,42005,23/12/2014,SL,HKD,720,41924,23/12/2014,0,25000,Monthly,43103,43221,25,925000,0,0,0,1380994.95,0,N
8222227,8222227,Vista,In force,42005,16/12/2014,SL,HKD,720,29/11/2014,16/12/2014,0,12500,Monthly,43103,43221,25,462500,0,0,0,708173.02,0,N
8222278,8222278,Vista,Premium ceased,42005,28/12/2014,SL,HKD,720,41924,28/12/2014,0,5600,Monthly,42377,24/05/2016,25,100800,0,0,0,174089.42,0,N
8222881,8222881,Vista,Premium ceased,41642,41732,SL,HKD,720,28/02/2014,41732,0,2400,Monthly,42736,24/10/2016,25,79200,0,0,0,87597.52,0,N
8224174,8224174,Vista,In force,42005,42095,SL,USD,90,41955,42095,0,24600,6 Monthly,43107,43405,25,172199.98,0,0,0,254534.55,0,N
8224192,8224192,Vista,In force,42005,19/01/2015,SL,USD,90,41955,19/01/2015,0,24800,6 Monthly,43107,43405,25,173599.98,0,0,0,255124.61,0,N
8224998,8224998,Vista,In force,42005,31/12/2014,SL,HKD,720,41985,31/12/2014,0,60000,6 Monthly,43107,43221,25,762000,0,0,0,1219668.57,0,N
8225083,8225083,Vista,In force,42005,28/12/2014,SL,HKD,720,41985,28/12/2014,0,2400,Monthly,43103,43221,25,175200,0,0,0,252851.88,0,N
8225595,8225595,Vista,Premium ceased,42005,28/12/2014,SL,HKD,720,41985,28/12/2014,0,32500,Monthly,43102,42898,25,1170000,0,0,0,1757140.08,0,N
8226754,8226754,Vista,In force,42005,23/12/2014,SL,HKD,720,41985,23/12/2014,0,20000,Monthly,43103,42898,25,720000,0,20000,0,1172523.18,0,N
8227326,8227326,Vista,In force,42005,28/12/2014,SL,HKD,720,13/12/2014,28/12/2014,0,32500,Monthly,43103,43221,25,1002500,0,0,0,1582797.19,0,N
8227946,8227946,Vista,Premium ceased,42005,42095,SL,HKD,720,15/12/2014,42095,0,2400,Monthly,42379,24/05/2016,25,43200,0,0,0,45562.91,0,N
8227955,8227955,Vista,In force,42005,42309,SL,HKD,720,15/12/2014,42309,0,2400,Monthly,43103,43221,25,362400,0,0,0,538101.3,0,N
8228098,8228098,Vista,In force,42005,42125,SL,HKD,720,15/12/2014,42125,0,3500,Monthly,43103,43221,25,167300,0,0,0,210399.43,0,N
8231528,8231528,Vista,In force,42005,30/12/2014,SL,HKD,720,13/12/2014,30/12/2014,0,2400,Monthly,43103,43221,25,191200,0,0,0,279738.47,0,N
8231765,8231765,Vista,In force,42005,29/12/2014,SL,HKD,720,17/12/2014,29/12/2014,0,16800,Quarterly,43104,43221,25,218400,0,0,0,307999.85,0,N
8234561,8234561,Vista,Premium ceased,41642,30/03/2014,SL,HKD,720,14/03/2014,30/03/2014,0,2400,Monthly,42375,42555,25,244200,0,0,0,432987.59,0,N
8239800,8239800,Vista,In force,41644,17/04/2014,SL,HKD,720,27/03/2014,17/04/2014,0,33600,6 Monthly,43105,24/10/2017,25,246400,0,0,0,350838,0,N
8239822,8239822,Vista,In force,41642,41702,SL,HKD,720,21/03/2014,41702,0,26000,Monthly,43103,43221,25,1222000,0,0,0,1755692.19,0,N
8242865,8242865,Vista,In force,42005,30/12/2014,SL,HKD,720,20/12/2014,30/12/2014,0,2400,Monthly,43103,43221,25,146400,0,0,0,199756.93,0,N
8242954,8242954,Vista,In force,42005,42309,SL,HKD,720,23/12/2014,42309,0,2400,Monthly,43103,43221,25,149600,0,0,0,229849.52,0,N
8243022,8243022,Vista,In force,42005,42095,SL,HKD,720,23/12/2014,42095,0,2400,Monthly,43103,43221,15,225600,0,0,0,329362.58,0,N
8243488,8243488,Vista,In force,42005,42309,SL,HKD,720,23/12/2014,42309,0,7200,Quarterly,43104,43221,25,230400,0,0,0,400448.9,0,N
8243560,8243560,Vista,Premium ceased,41643,14/04/2014,SL,HKD,720,27/03/2014,14/04/2014,0,5600,Monthly,42378,42463,25,134400,0,0,0,228684.23,0,N
8244115,8244115,Vista,Premium ceased,42005,42186,SL,HKD,720,24/12/2014,42186,0,5600,Monthly,42377,24/05/2016,25,100800,0,0,0,172387.33,0,N
8244124,8244124,Vista,Premium ceased,42005,42309,SL,HKD,720,24/12/2014,42309,0,60000,6 Monthly,42736,25/01/2016,25,180000,0,0,0,351710.05,0,N
8244673,8244673,Vista,In force,42005,42217,SL,HKD,720,19/12/2014,42217,0,6000,Monthly,43103,43221,25,725500,0,0,0,1294444.73,0,N
8245554,8245554,Vista,In force,42005,22/01/2015,SL,HKD,720,41802,22/01/2015,0,13000,Monthly,43103,43221,25,481000,0,0,0,734304.75,0,N
8247157,8247157,Vista,In force,42005,14/01/2015,SL,HKD,720,30/12/2014,14/01/2015,0,5600,Monthly,43103,43221,25,207200,0,0,0,302914.32,0,N
8247395,8247395,Vista,Premium ceased,42005,42309,SL,HKD,720,30/12/2014,42309,0,3500,Monthly,42379,42468,25,228500,0,0,0,433529.46,0,N
8247425,8247425,Vista,Premium ceased,42005,15/01/2015,SL,HKD,720,30/12/2014,15/01/2015,0,4000,Monthly,42738,42533,25,92000,0,0,0,80375.1,0,N
8247769,8247769,Vista,In force,42005,15/01/2015,SL,HKD,720,30/12/2014,15/01/2015,0,2400,Monthly,43103,43221,25,585600,0,0,0,1064513.16,0,N
8250018,8250018,Vista,Lapse,42005,15/01/2015,SL,HKD,720,31/12/2014,15/01/2015,0,0,Single Premium,0,31/12/2014,25,7500,0,0,0,0,0,N
8250345,8250345,Vista,In force,42005,19/01/2015,SL,HKD,720,30/12/2014,19/01/2015,0,60000,Annual,43466,43221,25,779600,0,0,0,1340338.97,0,N
8254146,8254146,Pacific,In force,42015,31/10/2015,SL,USD,90,21/10/2015,31/10/2015,0,26000,Annual,43111,42897,67,77999.98,0,0,0,102225.69,0,N
8258290,8258290,Vista,Premium ceased,41644,41734,SL,HKD,720,14/04/2014,41734,0,20000,Monthly,42016,42195,25,360000,0,0,0,663269.64,0,N
8261860,8261860,Vista,In force,41644,41856,SL,HKD,720,22/04/2014,41856,0,3000,Monthly,43103,43435,25,351000,0,0,0,604407.37,0,N
8271953,8271953,Vista,Premium ceased,41644,15/05/2014,SL,HKD,720,25/04/2014,15/05/2014,0,2400,Monthly,42744,42893,25,590400,0,0,0,1060937.36,0,N
8272304,8272304,Pacific,In force,42377,25/07/2016,SL,HKD,720,18/07/2016,25/07/2016,0,4000,Monthly,43103,43221,63,72000,0,0,0,76423.31,0,N
8273478,8273478,Pacific,In force,42377,31/07/2016,SL,HKD,720,21/07/2016,31/07/2016,0,6000,Monthly,43103,24/01/2018,63,114000,0,0,0,134461.75,0,N
8275346,8275346,Vista,Premium ceased,41644,41978,SL,HKD,720,30/04/2014,41978,0,30000,Monthly,42373,42462,25,660000,0,0,0,1148354.42,0,N
8275953,8275953,Pacific,In force,42377,31/07/2016,SL,HKD,720,27/07/2016,31/07/2016,0,4637.66,Monthly,43103,24/01/2018,63,88115.62,0,0,0,94488.5,0,N
8278390,8278390,Pacific,In force,42016,29/11/2015,SL,HKD,720,15/11/2015,29/11/2015,0,8000,Monthly,43103,43221,66,208000,0,0,0,262736,0,N
8282328,8282328,Pacific,In force,42016,29/11/2015,SL,HKD,720,20/11/2015,29/11/2015,0,120000,Annual,43112,42898,67,360000,0,0,0,436301.48,0,N
8282865,8282865,Vista,In force,41644,15/05/2014,SL,HKD,720,41825,15/05/2014,0,67200,Annual,43105,42983,25,268800,0,0,0,379555.25,0,N
8283004,8283004,Vista,Premium ceased,41644,41948,SL,HKD,720,26/04/2014,41948,0,10000,Monthly,42373,42135,25,190000,0,0,0,308223.42,0,N
8286030,8286030,Vista,In force,41645,20/05/2014,JLFD,HKD,720,41917,20/05/2014,0,2400,Monthly,43103,43221,25,166400,0,0,0,263443.6,0,N
8286030,8286030,Vista,In force,41645,20/05/2014,JLFD,HKD,720,41917,20/05/2014,0,2400,Monthly,43103,43221,25,166400,0,0,0,263443.6,0,N
8286173,8286173,Pacific,In force,42378,18/08/2016,SL,USD,90,42529,18/08/2016,0,12000,Annual,43109,22/11/2017,62,187200.09,0,0,0,28186.95,0,N
8287338,8287338,Pacific,In force,42016,13/12/2015,SL,HKD,720,28/11/2015,13/12/2015,0,6000,Monthly,43103,19/01/2018,67,156000,0,0,0,185296.79,0,N
8288507,8288507,Pacific,In force,42738,19/02/2017,SL,HKD,720,13/01/2017,19/02/2017,0,48000,Annual,43103,16/02/2017,59,48000,0,0,0,48664.55,0,N
8292356,8292356,Vista,In force,41645,26/05/2014,SL,HKD,720,18/05/2014,26/05/2014,0,5600,Monthly,43103,43221,25,246400,0,0,0,357292.21,0,N
8292766,8292766,Pacific,In force,42016,13/12/2015,SL,USD,90,42136,13/12/2015,0,3000,Monthly,43103,43221,66,78000,0,0,0,119210.88,0,N
8292784,8292784,Pacific,In force,42016,14/12/2015,SL,HKD,720,42136,14/12/2015,0,6000,Monthly,43103,43221,63,156000,0,0,0,179146.05,0,N
8292814,8292814,Pacific,In force,42016,42289,SL,HKD,720,42197,42289,0,75000,Annual,43112,42898,64,225000,0,0,0,259597.96,0,N
8293940,8293940,Vista,In force,41645,41735,SL,HKD,720,26/05/2014,41735,0,8000,Monthly,43103,43221,25,377200,0,0,0,613332.23,0,N
8294308,8294308,Vista,In force,41645,30/05/2014,SL,HKD,720,26/05/2014,30/05/2014,0,10000,Monthly,43103,43435,25,640000,0,0,0,999242.87,0,N
8295277,8295277,Pacific,In force,42378,23/08/2016,SL,USD,90,15/08/2016,23/08/2016,0,36000,Annual,43109,42895,75,71999.98,0,0,0,104628.25,0,N
8295304,8295304,Pacific,In force,42378,23/08/2016,SL,HKD,720,15/08/2016,23/08/2016,0,4000,Monthly,43103,43221,76,68000,0,0,0,72047.72,0,N
8295316,8295316,Pacific,In force,42378,29/08/2016,SL,HKD,720,15/08/2016,29/08/2016,0,4000,Monthly,43103,43221,76,68000,0,0,0,72484.13,0,N
8295334,8295334,Pacific,Surrendered,42378,24/08/2016,SL,HKD,720,15/08/2016,24/08/2016,0,0,Single Premium,0,42833,76,48000,0,0,0,0,0,N
8297774,8297774,Vista,In force,41645,41857,SL,HKD,720,29/05/2014,41857,0,2400,Monthly,43103,43221,25,410400,0,0,0,714866.11,0,N
8298048,8298048,Pacific,In force,42737,42980,SL,HKD,720,25/01/2017,42980,0,72000,Annual,43467,42949,66,72000,0,0,0,84360.7,0,N
8299019,8299019,Pacific,In force,42378,24/08/2016,SL,HKD,720,18/08/2016,24/08/2016,0,4000,Monthly,43103,24/01/2018,72,72000,0,0,0,76529.31,0,N
8299868,8299868,Pacific,In force,42378,42469,SL,USD,90,23/08/2016,42469,0,12000,Annual,43109,42895,68,23999.99,0,0,0,28195.85,0,N
8300095,8300095,Pacific,In force,42378,29/08/2016,SL,HKD,720,24/08/2016,29/08/2016,0,6000,Monthly,43103,43221,61,102000,0,0,0,120682.92,0,N
8303439,8303439,Vista,In force,41645,18/06/2014,SL,HKD,720,41796,18/06/2014,0,2400,Monthly,43103,30/12/2015,25,380000,0,0,0,687608.59,0,N
8303498,8303498,Vista,In force,41645,19/06/2014,SL,HKD,720,31/05/2014,19/06/2014,0,7200,Monthly,43103,43221,25,468000,0,0,0,716127.47,0,N
8307178,8307178,Pacific,In force,42378,42378,SL,USD,90,26/08/2016,42378,0,12000,Annual,43109,22/11/2017,67,23999.99,0,0,0,28233.64,0,N
8307812,8307812,Pacific,In force,42378,13/09/2016,SL,USD,90,27/08/2016,13/09/2016,0,1000,Monthly,43103,24/01/2018,64,18000,0,0,0,23126.68,0,N
8307820,8307820,Pacific,In force,42378,42469,SL,HKD,720,27/08/2016,42469,0,4000,Monthly,43103,43221,74,68000,0,0,0,74862.42,0,N
8307828,8307828,Pacific,In force,42378,42560,SL,HKD,720,27/08/2016,42560,0,4000,Monthly,43103,43221,74,36000,0,0,0,37313.8,0,N
8307855,8307855,Pacific,In force,42378,13/09/2016,SL,HKD,720,27/08/2016,13/09/2016,0,72000,Annual,43109,42895,62,144000,0,0,0,158844.08,0,N
8309170,8309170,Vista,In force,41646,25/06/2014,SL,HKD,720,18/06/2014,25/06/2014,0,18000,Monthly,43103,43221,25,1018000,0,0,0,1568031.44,0,N
8309546,8309546,Pacific,In force,42378,13/09/2016,SL,HKD,720,42378,13/09/2016,0,10500,Monthly,43103,43221,68,178500,0,0,0,233315.28,0,N
8319314,8319314,Pacific,In force,42737,24/01/2017,SL,HKD,720,18/09/2016,24/01/2017,0,16000,Monthly,43103,43221,66,192000,0,0,0,307238.34,0,N
8319322,8319322,Pacific,In force,42379,22/09/2016,SL,USD,90,18/09/2016,22/09/2016,0,1000,Monthly,43103,24/01/2018,62,16999.99,0,0,0,21295.66,0,N
8320492,8320492,Vista,Premium ceased,41646,15/07/2014,JLFD,HKD,720,30/06/2014,15/07/2014,0,12000,Monthly,42371,42106,25,216000,0,0,0,418469.32,0,N
8320492,8320492,Vista,Premium ceased,41646,15/07/2014,JLFD,HKD,720,30/06/2014,15/07/2014,0,12000,Monthly,42371,42106,25,216000,0,0,0,418469.32,0,N
8324519,8324519,Pacific,In force,42370,42461,SL,USD,90,19/12/2015,42461,0,1250,Monthly,43103,43221,67,31250,0,0,0,39526.95,0,N
8324519,8324519,Pacific,In force,42370,42461,SL,USD,90,19/12/2015,42461,0,1250,Monthly,43103,43221,67,31250,0,0,0,39526.95,0,N
8326264,8326264,Pacific,In force,42379,29/09/2016,SL,USD,90,24/09/2016,29/09/2016,0,750,Monthly,43103,25/01/2018,65,11999.99,0,0,0,13587.67,0,N
8328345,8328345,Pacific,In force,42370,31/12/2015,SL,HKD,720,26/12/2015,31/12/2015,0,8000,Monthly,43103,43221,63,200000,0,0,0,256017.2,0,N
8328415,8328415,Vista,Premium ceased,41647,25/07/2014,SL,HKD,720,41705,25/07/2014,0,7000,Monthly,42744,42893,25,492000,0,0,0,775889.86,0,N
8332989,8332989,Pacific,In force,42379,42531,SL,USD,90,42439,42531,0,12000,Annual,43110,42988,62,23999.99,0,0,0,28250.24,0,N
8333039,8333039,Pacific,In force,42379,42714,SL,USD,90,42470,42714,0,750,Monthly,43103,43221,71,12000,0,0,0,13737.3,0,N
8333039,8333039,Pacific,In force,42379,42714,SL,USD,90,42470,42714,0,750,Monthly,43103,43221,71,12000,0,0,0,13737.3,0,N
8333357,8333357,Pacific,In force,42380,16/10/2016,SL,USD,90,42500,16/10/2016,0,36000,Annual,43111,42897,58,71999.98,0,0,0,102786.96,0,N
8333366,8333366,Pacific,In force,42379,42714,SL,USD,90,42500,42714,0,12000,Annual,43110,42988,63,24000,0,0,0,28240.64,0,N
8335128,8335128,Vista,In force,41647,24/07/2014,SL,HKD,720,17/07/2014,24/07/2014,0,90000,6 Monthly,43108,42833,25,630000,0,0,0,938188.91,0,N
8335131,8335131,Pacific,In force,42379,42714,JLFD,USD,90,42531,42714,0,36000,Annual,43110,42988,63,71999.97,0,0,0,102713.43,0,N
8335131,8335131,Pacific,In force,42379,42714,JLFD,USD,90,42531,42714,0,36000,Annual,43110,42988,63,71999.97,0,0,0,102713.43,0,N
8335446,8335446,Vista,Premium ceased,41647,25/07/2014,SL,HKD,720,15/07/2014,25/07/2014,0,7000,Monthly,42373,42462,25,133000,0,0,0,235446.18,0,N
8336686,8336686,Pacific,In force,42738,28/02/2017,SL,USD,90,21/02/2017,28/02/2017,0,9000,Annual,43103,27/02/2017,66,9000,0,0,0,10576.03,0,N
8337155,8337155,Vista,In force,41647,22/07/2014,SL,HKD,720,41980,22/07/2014,0,2400,Monthly,43103,43221,25,237600,0,0,0,407177.21,0,N
8337253,8337253,Vista,In force,41647,22/07/2014,SL,HKD,720,41980,22/07/2014,0,7500,Monthly,43103,43081,15,307500,0,7500,0,410101.83,0,N
8339097,8339097,Pacific,In force,42380,16/10/2016,SL,USD,90,42561,16/10/2016,0,1500,Monthly,43103,28/12/2017,64,19499.99,0,3000,0,25563.17,0,N
8347784,8347784,Pacific,In force,42380,27/10/2016,SL,HKD,720,19/10/2016,27/10/2016,0,32000,Monthly,43103,43221,61,480000,0,0,0,812097.67,0,N
8347792,8347792,Pacific,In force,42380,31/10/2016,SL,HKD,720,19/10/2016,31/10/2016,0,32000,Monthly,43103,43221,64,480000,0,0,0,811718.14,0,N
8348381,8348381,Pacific,In force,42380,42532,SL,USD,90,20/10/2016,42532,0,36000,Annual,43111,42897,64,71999.97,0,0,0,102430.16,0,N
8349637,8349637,Pacific,In force,42380,30/10/2016,SL,USD,90,25/10/2016,30/10/2016,0,550,Monthly,43103,24/01/2018,65,8800,0,0,0,8997.35,0,N
8351994,8351994,Pacific,In force,42380,42654,SL,USD,90,28/10/2016,42654,0,6000,Annual,43111,25/01/2018,63,12000,0,0,0,12042.48,0,N
8351994,8351994,Pacific,In force,42380,42654,SL,USD,90,28/10/2016,42654,0,6000,Annual,43111,25/01/2018,63,12000,0,0,0,12042.48,0,N
8352316,8352316,Vista,Premium ceased,41648,14/09/2014,SL,HKD,720,13/08/2014,14/09/2014,0,5600,Monthly,42373,25/01/2016,25,100800,0,0,0,184371.29,0,N
8354241,8354241,Pacific,In force,42380,42532,SL,USD,90,29/10/2016,42532,0,750,Monthly,43103,24/01/2018,65,12000,0,0,0,13690.42,0,N
8358323,8358323,Vista,Premium ceased,41648,31/08/2014,SL,HKD,720,21/08/2014,31/08/2014,0,32500,Monthly,42374,42462,25,585000,0,0,0,1058688.27,0,N
8362772,8362772,Vista,Lapse,41648,41648,SL,HKD,720,20/08/2014,41648,0,0,Single Premium,0,41648,25,5600,0,0,0,0,0,N
8363274,8363274,Pacific,In force,42372,21/02/2016,SL,HKD,720,42462,21/02/2016,0,4200,Monthly,43103,24/01/2018,63,100800,0,0,0,108777.36,0,N
