 Policy Number,PolicyNum,PTVPlanDesc,Status,Commencementdate,IssueDate,BasisType,PlanCurrency,PolicyFee,ApplicationDate,InitialPayDateReg,InitialPayDateSng,CurrentRegularPrem,RegularPremiumFreq,NextRenewalDate,LastPremPaidDate,PolicyTerm,PremiumsPaidTotal,SinglPremiumsTotal,UnsettledPremiums,PremOSTotal,Currentfundholding,CurrentSurrenderval,PremHolOption
8110328,8110328,Vista,In force,40184,40335,SL,HKD,720,29/05/2010,40274,0,2400,Monthly,43103,43160,25,292200,0,0,0,395534.68,0,N
8113758,8113758,Pacific,In force,42736,18/12/2016,SL,USD,90,42625,18/12/2016,0,12000,Annual,43466,16/12/2016,57,12000,0,12000,0,16063.39,0,N
8115058,8115058,Pacific,In force,42374,24/04/2016,SL,HKD,720,16/04/2016,24/04/2016,0,4000,Monthly,43103,42898,72,80000,0,4000,0,83335.83,0,N
8115067,8115067,Pacific,In force,42374,30/04/2016,SL,HKD,720,17/04/2016,30/04/2016,0,8000,Monthly,43103,42898,66,160000,0,8000,0,197266.34,0,N
8115659,8115659,Vista,In force,41284,41466,JLFD,USD,90,21/09/2013,41375,0,1600,Monthly,43103,42898,25,81600,0,1600,0,110826.25,0,N
8115659,8115659,Vista,In force,41284,41466,JLFD,USD,90,21/09/2013,41375,0,1600,Monthly,43103,42898,25,81600,0,1600,0,110826.25,0,N
8116614,8116614,Vista,In force,41650,31/10/2014,SL,USD,90,24/10/2014,31/10/2014,0,7650,Monthly,43103,42898,25,290700,0,7650,0,412830.35,0,N
8118219,8118219,Pacific,Surrendered,42374,42618,SL,USD,90,23/04/2016,42618,0,0,Single Premium,0,24/06/2016,72,2250,0,0,0,0,0,N
8118227,8118227,Pacific,In force,42374,42465,SL,HKD,720,23/04/2016,42465,0,7000,Monthly,43103,42898,65,140000,0,7000,0,159740.71,0,N
8118236,8118236,Pacific,In force,42374,30/04/2016,SL,USD,90,23/04/2016,30/04/2016,0,850,Monthly,43103,42898,69,17000,0,850,0,19151.1,0,N
8118254,8118254,Pacific,In force,42374,42587,SL,HKD,720,24/04/2016,42587,0,6000,Monthly,43103,42898,68,120000,0,6000,0,139478,0,N
8118786,8118786,Pacific,In force,42736,27/12/2016,SL,HKD,720,17/12/2016,27/12/2016,0,6000,Monthly,43103,28/12/2017,64,78000,0,0,0,89082.38,0,N
8119766,8119766,Pacific,In force,42736,29/12/2016,SL,HKD,720,21/12/2016,29/12/2016,0,72000,Annual,43466,29/12/2016,64,72000,0,72000,0,82908.56,0,N
8121807,8121807,Pacific,In force,42736,42856,SL,USD,90,29/12/2016,42856,0,24000,Annual,43466,42826,64,24000,0,24000,0,35783.49,0,N
8124547,8124547,Pacific,In force,42736,43009,SL,USD,90,31/12/2016,43009,0,9000,Annual,43466,42979,66,9000,0,9000,0,10335.02,0,N
8124565,8124565,Pacific,In force,42737,18/01/2017,SL,USD,90,31/12/2016,18/01/2017,0,24000,Annual,43467,17/01/2017,68,24000,0,0,0,35812.26,0,N
8124581,8124581,Pacific,In force,42738,28/02/2017,SL,USD,90,30/12/2016,28/02/2017,0,12000,Annual,43103,28/02/2017,67,12000,0,0,0,15393.73,0,N
8124735,8124735,Pacific,In force,42736,43070,SL,USD,90,42795,43070,0,1000,Monthly,43103,43040,57,12000,0,1000,0,15612.44,0,N
8127024,8127024,Pacific,In force,42374,42648,SL,HKD,720,26/04/2016,42648,0,8000,Monthly,43103,42898,66,160000,0,8000,0,198238.54,0,N
8128241,8128241,Pacific,In force,42374,15/05/2016,SL,HKD,720,42587,15/05/2016,0,6000,Monthly,43103,42898,70,120000,0,6000,0,139564.46,0,N
8129502,8129502,Pacific,In force,42737,17/01/2017,SL,USD,90,43009,17/01/2017,0,9000,Annual,43467,16/01/2017,79,9000,0,0,0,10289.44,0,N
8129502,8129502,Pacific,In force,42737,17/01/2017,SL,USD,90,43009,17/01/2017,0,9000,Annual,43467,16/01/2017,79,9000,0,0,0,10289.44,0,N
8137151,8137151,Pacific,In force,42375,42527,SL,HKD,720,42648,42527,0,4000,Monthly,43103,28/12/2017,71,80000,0,0,0,82978.58,0,N
8137552,8137552,Vista,In force,40186,16/08/2010,SL,HKD,720,23/07/2010,16/08/2010,0,4000,Monthly,43103,42898,25,609000,0,4000,0,843351.1,0,N
8144050,8144050,Pacific,In force,42376,42650,SL,HKD,720,21/05/2016,42650,0,4000,Monthly,43103,42898,58,72000,0,4000,0,73973.54,0,N
8148935,8148935,Pacific,In force,42375,15/06/2016,SL,HKD,720,31/05/2016,15/06/2016,0,4024.16,Monthly,43103,28/12/2017,60,80483.28,0,0,0,84054.68,0,N
8155982,8155982,Pacific,In force,42376,19/06/2016,SL,HKD,720,42649,19/06/2016,0,4000,Monthly,43103,42898,71,72000,0,4000,0,75454.14,0,N
8161777,8161777,Pacific,In force,42377,20/07/2016,SL,HKD,720,23/06/2016,20/07/2016,0,4000,Monthly,43103,24/10/2017,66,64000,0,8000,0,65624.21,0,N
8161974,8161974,Pacific,In force,42376,42650,SL,USD,90,24/06/2016,42650,0,24000,Annual,43107,22/06/2017,66,48000,0,0,0,63953.2,0,N
8165955,8165955,Vista,Premium ceased,40188,40278,SL,HKD,720,14/09/2010,40278,0,3000,Monthly,42011,26/01/2015,20,289000,0,0,0,357908.38,0,N
8178228,8178228,Vista,In force,41651,24/11/2014,SL,HKD,720,41984,24/11/2014,0,14400,6 Monthly,43106,42898,25,283200,0,0,0,435722.41,0,N
8178236,8178236,Vista,In force,41651,18/11/2014,SL,HKD,720,41984,17/11/2014,0,28800,Annual,43112,42898,25,192000,0,0,0,236427.22,0,N
8178597,8178597,Vista,Premium ceased,41651,20/11/2014,SL,HKD,720,41893,20/11/2014,0,32500,Monthly,42376,24/05/2016,25,585000,0,0,0,1078618.89,0,N
8191615,8191615,Vista,Premium ceased,41651,25/11/2014,SL,HKD,720,16/10/2014,25/11/2014,0,5600,Monthly,42376,25/04/2016,25,100800,0,0,0,171417.08,0,N
8191624,8191624,Vista,In force,41651,20/11/2014,SL,HKD,720,41862,20/11/2014,0,5600,Monthly,43103,42898,25,207200,0,5600,0,294808.92,0,N
8198369,8198369,Vista,In force,41651,41710,SL,HKD,720,16/11/2014,41710,0,2400,Monthly,43103,42898,25,168800,0,2400,0,243389.07,0,N
8198475,8198475,Vista,Premium ceased,42005,28/12/2014,SL,HKD,720,18/11/2014,28/12/2014,0,10000,Monthly,42378,42528,25,190000,0,0,0,342644.23,0,N
8207784,8207784,Vista,In force,42005,21/12/2014,SL,HKD,720,25/11/2014,21/12/2014,0,5600,Monthly,43103,42898,25,201600,0,5600,0,271470.43,0,N
8209884,8209884,Vista,In force,42005,17/12/2014,SL,HKD,720,26/11/2014,17/12/2014,0,5000,Monthly,43103,42898,25,380000,0,5000,0,625786.58,0,N
8218009,8218009,Vista,In force,41651,14/12/2014,SL,HKD,720,41741,14/12/2014,0,390000,Annual,43112,43081,25,1560000,0,0,0,2131608.39,0,N
8219179,8219179,Vista,Premium ceased,41642,27/02/2014,SL,HKD,720,24/02/2014,27/02/2014,0,96000,Annual,42738,29/05/2015,25,192000,0,0,0,248115.67,0,N
8219358,8219358,Vista,In force,41651,15/12/2014,SL,HKD,720,41771,15/12/2014,0,5000,Monthly,43103,42898,25,285000,0,5000,0,448290.81,0,N
8219366,8219366,Vista,In force,42005,17/12/2014,SL,HKD,720,41771,17/12/2014,0,3000,Monthly,43103,42898,25,288000,0,3000,0,491238.33,0,N
8222219,8222219,Vista,In force,42005,23/12/2014,SL,HKD,720,41924,23/12/2014,0,25000,Monthly,43103,42898,25,900000,0,25000,0,1307906.26,0,N
8222227,8222227,Vista,In force,42005,16/12/2014,SL,HKD,720,29/11/2014,16/12/2014,0,12500,Monthly,43103,42898,25,450000,0,12500,0,666836.12,0,N
8222278,8222278,Vista,Premium ceased,42005,28/12/2014,SL,HKD,720,41924,28/12/2014,0,5600,Monthly,42377,24/05/2016,25,100800,0,0,0,166868.85,0,N
8222881,8222881,Vista,Premium ceased,41642,41732,SL,HKD,720,28/02/2014,41732,0,2400,Monthly,42736,24/10/2016,25,79200,0,0,0,83977.66,0,N
8224174,8224174,Vista,In force,42005,42095,SL,USD,90,41955,42095,0,24600,6 Monthly,43107,30/06/2017,25,147599.98,0,24600,0,219947.64,0,N
8224192,8224192,Vista,In force,42005,19/01/2015,SL,USD,90,41955,19/01/2015,0,24800,6 Monthly,43107,25/07/2017,25,148799.98,0,24800,0,220326.71,0,N
8224998,8224998,Vista,In force,42005,31/12/2014,SL,HKD,720,41985,31/12/2014,0,60000,6 Monthly,43107,19/06/2017,25,702000,0,60000,0,1110267.97,0,N
8225083,8225083,Vista,In force,42005,28/12/2014,SL,HKD,720,41985,28/12/2014,0,2400,Monthly,43103,42898,25,172800,0,2400,0,241568.48,0,N
8225595,8225595,Vista,Premium ceased,42005,28/12/2014,SL,HKD,720,41985,28/12/2014,0,32500,Monthly,43102,42898,25,1170000,0,0,0,1695512.51,0,N
8226754,8226754,Vista,In force,42005,23/12/2014,SL,HKD,720,41985,23/12/2014,0,20000,Monthly,43103,42898,25,720000,0,20000,0,1110895.52,0,N
8227326,8227326,Vista,In force,42005,28/12/2014,SL,HKD,720,13/12/2014,28/12/2014,0,32500,Monthly,43103,42898,25,970000,0,32500,0,1495338.37,0,N
8227946,8227946,Vista,Premium ceased,42005,42095,SL,HKD,720,15/12/2014,42095,0,2400,Monthly,42379,24/05/2016,25,43200,0,0,0,43673.15,0,N
8227955,8227955,Vista,In force,42005,42309,SL,HKD,720,15/12/2014,42309,0,2400,Monthly,43103,42898,25,360000,0,2400,0,516864.26,0,N
8228098,8228098,Vista,In force,42005,42125,SL,HKD,720,15/12/2014,42125,0,3500,Monthly,43103,42898,25,163800,0,3500,0,196135.16,0,N
8231528,8231528,Vista,In force,42005,30/12/2014,SL,HKD,720,13/12/2014,30/12/2014,0,2400,Monthly,43103,42898,25,188800,0,2400,0,265856.31,0,N
8231765,8231765,Vista,In force,42005,29/12/2014,SL,HKD,720,17/12/2014,29/12/2014,0,16800,Quarterly,43104,42988,25,201600,0,16800,0,278775.02,0,N
8234561,8234561,Vista,Premium ceased,41642,30/03/2014,SL,HKD,720,14/03/2014,30/03/2014,0,2400,Monthly,42375,42555,25,244200,0,0,0,415028.89,0,N
8239800,8239800,Vista,In force,41644,17/04/2014,SL,HKD,720,27/03/2014,17/04/2014,0,33600,6 Monthly,43105,24/10/2017,25,246400,0,0,0,336409.18,0,N
8239822,8239822,Vista,In force,41642,41702,SL,HKD,720,21/03/2014,41702,0,26000,Monthly,43103,42898,25,1196000,0,26000,0,1658029.32,0,N
8242865,8242865,Vista,In force,42005,30/12/2014,SL,HKD,720,20/12/2014,30/12/2014,0,2400,Monthly,43103,42898,25,144000,0,2400,0,186863.95,0,N
8242954,8242954,Vista,In force,42005,42309,SL,HKD,720,23/12/2014,42309,0,2400,Monthly,43103,42898,25,147200,0,2400,0,218004.48,0,N
8243022,8243022,Vista,In force,42005,42095,SL,HKD,720,23/12/2014,42095,0,2400,Monthly,43103,42898,15,223200,0,2400,0,315354.6,0,N
8243488,8243488,Vista,In force,42005,42309,SL,HKD,720,23/12/2014,42309,0,7200,Quarterly,43104,42988,25,223200,0,7200,0,376789.75,0,N
8243560,8243560,Vista,Premium ceased,41643,14/04/2014,SL,HKD,720,27/03/2014,14/04/2014,0,5600,Monthly,42378,42463,25,134400,0,0,0,219199.27,0,N
8244115,8244115,Vista,Premium ceased,42005,42186,SL,HKD,720,24/12/2014,42186,0,5600,Monthly,42377,24/05/2016,25,100800,0,0,0,165237.36,0,N
8244124,8244124,Vista,Premium ceased,42005,42309,SL,HKD,720,24/12/2014,42309,0,60000,6 Monthly,42736,25/01/2016,25,180000,0,0,0,337122.44,0,N
8244673,8244673,Vista,In force,42005,42217,SL,HKD,720,19/12/2014,42217,0,6000,Monthly,43103,42898,25,719500,0,6000,0,1234974.44,0,N
8245554,8245554,Vista,In force,42005,22/01/2015,SL,HKD,720,41802,22/01/2015,0,13000,Monthly,43103,42898,25,468000,0,13000,0,691324.06,0,N
8247157,8247157,Vista,In force,42005,14/01/2015,SL,HKD,720,30/12/2014,14/01/2015,0,5600,Monthly,43103,42898,25,201600,0,5600,0,284988.22,0,N
8247395,8247395,Vista,Premium ceased,42005,42309,SL,HKD,720,30/12/2014,42309,0,3500,Monthly,42379,42468,25,228500,0,0,0,415548.3,0,N
8247425,8247425,Vista,Premium ceased,42005,15/01/2015,SL,HKD,720,30/12/2014,15/01/2015,0,4000,Monthly,42738,42533,25,92000,0,0,0,77041.45,0,N
8247769,8247769,Vista,In force,42005,15/01/2015,SL,HKD,720,30/12/2014,15/01/2015,0,2400,Monthly,43103,42898,25,583200,0,2400,0,1018205.44,0,N
8250018,8250018,Vista,Lapse,42005,15/01/2015,SL,HKD,720,31/12/2014,15/01/2015,0,0,Single Premium,0,31/12/2014,25,7500,0,0,0,0,0,N
8250345,8250345,Vista,In force,42005,19/01/2015,SL,HKD,720,30/12/2014,19/01/2015,0,60000,Annual,43466,42983,25,719600,0,60000,0,1225742.45,0,N
8254146,8254146,Pacific,In force,42015,31/10/2015,SL,USD,90,21/10/2015,31/10/2015,0,26000,Annual,43111,42897,67,77999.98,0,0,0,98317.86,0,N
8258290,8258290,Vista,Premium ceased,41644,41734,SL,HKD,720,14/04/2014,41734,0,20000,Monthly,42016,42195,25,360000,0,0,0,635759.69,0,N
8261860,8261860,Vista,In force,41644,41856,SL,HKD,720,22/04/2014,41856,0,3000,Monthly,43103,18/12/2017,25,348000,0,3000,0,576470.49,0,N
8271953,8271953,Vista,Premium ceased,41644,15/05/2014,SL,HKD,720,25/04/2014,15/05/2014,0,2400,Monthly,42744,42893,25,590400,0,0,0,1016953.04,0,N
8272304,8272304,Pacific,In force,42377,25/07/2016,SL,HKD,720,18/07/2016,25/07/2016,0,4000,Monthly,43103,42898,63,68000,0,4000,0,69573.4,0,N
8273478,8273478,Pacific,In force,42377,31/07/2016,SL,HKD,720,21/07/2016,31/07/2016,0,6000,Monthly,43103,28/12/2017,63,108000,0,0,0,123541.92,0,N
8275346,8275346,Vista,Premium ceased,41644,41978,SL,HKD,720,30/04/2014,41978,0,30000,Monthly,42373,42462,25,660000,0,0,0,1100724.93,0,N
8275953,8275953,Pacific,In force,42377,31/07/2016,SL,HKD,720,27/07/2016,31/07/2016,0,4637.66,Monthly,43103,28/12/2017,63,83477.96,0,0,0,86407.65,0,N
8278390,8278390,Pacific,In force,42016,29/11/2015,SL,HKD,720,15/11/2015,29/11/2015,0,8000,Monthly,43103,42898,66,200000,0,8000,0,244781.45,0,N
8282328,8282328,Pacific,In force,42016,29/11/2015,SL,HKD,720,20/11/2015,29/11/2015,0,120000,Annual,43112,42898,67,360000,0,0,0,419620.77,0,N
8282865,8282865,Vista,In force,41644,15/05/2014,SL,HKD,720,41825,15/05/2014,0,67200,Annual,43105,42983,25,268800,0,0,0,363919.21,0,N
8283004,8283004,Vista,Premium ceased,41644,41948,SL,HKD,720,26/04/2014,41948,0,10000,Monthly,42373,42135,25,190000,0,0,0,289342.51,0,N
8286030,8286030,Vista,In force,41645,20/05/2014,JLFD,HKD,720,41917,20/05/2014,0,2400,Monthly,43103,42898,25,164000,0,2400,0,250239.29,0,N
8286030,8286030,Vista,In force,41645,20/05/2014,JLFD,HKD,720,41917,20/05/2014,0,2400,Monthly,43103,42898,25,164000,0,2400,0,250239.29,0,N
8286173,8286173,Pacific,In force,42378,18/08/2016,SL,USD,90,42529,18/08/2016,0,12000,Annual,43109,22/11/2017,62,187200.09,0,0,0,27461.51,0,N
8287338,8287338,Pacific,In force,42016,13/12/2015,SL,HKD,720,28/11/2015,13/12/2015,0,6000,Monthly,43103,42988,67,138000,0,18000,0,160609.85,0,N
8288507,8288507,Pacific,In force,42738,19/02/2017,SL,HKD,720,13/01/2017,19/02/2017,0,48000,Annual,43103,16/02/2017,59,48000,0,0,0,47079.41,0,N
8292356,8292356,Vista,In force,41645,26/05/2014,SL,HKD,720,18/05/2014,26/05/2014,0,5600,Monthly,43103,42898,25,240800,0,5600,0,337077.23,0,N
8292766,8292766,Pacific,In force,42016,13/12/2015,SL,USD,90,42136,13/12/2015,0,3000,Monthly,43103,42898,66,75000,0,3000,0,111691.91,0,N
8292784,8292784,Pacific,In force,42016,14/12/2015,SL,HKD,720,42136,14/12/2015,0,6000,Monthly,43103,42898,63,150000,0,6000,0,167577.58,0,N
8292814,8292814,Pacific,In force,42016,42289,SL,HKD,720,42197,42289,0,75000,Annual,43112,42898,64,225000,0,0,0,249673.46,0,N
8293940,8293940,Vista,In force,41645,41735,SL,HKD,720,26/05/2014,41735,0,8000,Monthly,43103,42898,25,369200,0,8000,0,580159.85,0,N
8294308,8294308,Vista,In force,41645,30/05/2014,SL,HKD,720,26/05/2014,30/05/2014,0,10000,Monthly,43103,18/12/2017,25,630000,0,10000,0,948230.17,0,N
8295277,8295277,Pacific,In force,42378,23/08/2016,SL,USD,90,15/08/2016,23/08/2016,0,36000,Annual,43109,42895,75,71999.98,0,0,0,100667.99,0,N
8295304,8295304,Pacific,In force,42378,23/08/2016,SL,HKD,720,15/08/2016,23/08/2016,0,4000,Monthly,43103,43081,76,64000,0,4000,0,65367.84,0,N
8295316,8295316,Pacific,In force,42378,29/08/2016,SL,HKD,720,15/08/2016,29/08/2016,0,4000,Monthly,43103,42898,76,64000,0,4000,0,65783.28,0,N
8295334,8295334,Pacific,Surrendered,42378,24/08/2016,SL,HKD,720,15/08/2016,24/08/2016,0,0,Single Premium,0,42833,76,48000,0,0,0,0,0,N
8297774,8297774,Vista,In force,41645,41857,SL,HKD,720,29/05/2014,41857,0,2400,Monthly,43103,42898,25,408000,0,2400,0,682903.91,0,N
8298048,8298048,Pacific,In force,42737,42980,SL,HKD,720,25/01/2017,42980,0,72000,Annual,43467,42949,66,72000,0,0,0,81694.87,0,N
8299019,8299019,Pacific,In force,42378,24/08/2016,SL,HKD,720,18/08/2016,24/08/2016,0,4000,Monthly,43103,28/12/2017,72,68000,0,0,0,69749.59,0,N
8299868,8299868,Pacific,In force,42378,42469,SL,USD,90,23/08/2016,42469,0,12000,Annual,43109,42895,68,23999.99,0,0,0,27411.93,0,N
8300095,8300095,Pacific,In force,42378,29/08/2016,SL,HKD,720,24/08/2016,29/08/2016,0,6000,Monthly,43103,42898,61,96000,0,6000,0,110178.14,0,N
8303439,8303439,Vista,Premium ceased,41645,18/06/2014,SL,HKD,720,41796,18/06/2014,0,20000,Monthly,42372,30/12/2015,25,380000,0,0,0,659089.15,0,N
8303498,8303498,Vista,In force,41645,19/06/2014,SL,HKD,720,31/05/2014,19/06/2014,0,7200,Monthly,43103,42898,25,460800,0,7200,0,679487.3,0,N
8307178,8307178,Pacific,In force,42378,42378,SL,USD,90,26/08/2016,42378,0,12000,Annual,43109,22/11/2017,67,23999.99,0,0,0,27512.49,0,N
8307812,8307812,Pacific,In force,42378,13/09/2016,SL,USD,90,27/08/2016,13/09/2016,0,1000,Monthly,43103,28/12/2017,64,17000,0,0,0,21284.3,0,N
8307820,8307820,Pacific,In force,42378,42469,SL,HKD,720,27/08/2016,42469,0,4000,Monthly,43103,42898,74,64000,0,4000,0,67144.38,0,N
8307828,8307828,Pacific,In force,42378,42560,SL,HKD,720,27/08/2016,42560,0,4000,Monthly,43103,42898,74,32000,0,4000,0,31959.11,0,N
8307855,8307855,Pacific,In force,42378,13/09/2016,SL,HKD,720,27/08/2016,13/09/2016,0,72000,Annual,43109,42895,62,144000,0,0,0,154528.76,0,N
8309170,8309170,Vista,In force,41646,25/06/2014,SL,HKD,720,18/06/2014,25/06/2014,0,18000,Monthly,43103,42898,25,1000000,0,18000,0,1485650.11,0,N
8309546,8309546,Pacific,In force,42378,13/09/2016,SL,HKD,720,42378,13/09/2016,0,10500,Monthly,43103,42898,68,168000,0,10500,0,214561.97,0,N
8319314,8319314,Pacific,In force,42737,24/01/2017,SL,HKD,720,18/09/2016,24/01/2017,0,16000,Monthly,43103,42898,66,176000,0,16000,0,272004.63,0,N
8319322,8319322,Pacific,In force,42379,22/09/2016,SL,USD,90,18/09/2016,22/09/2016,0,1000,Monthly,43103,28/12/2017,62,15999.99,0,0,0,19513.55,0,N
8320492,8320492,Vista,Premium ceased,41646,15/07/2014,JLFD,HKD,720,30/06/2014,15/07/2014,0,12000,Monthly,42371,42106,25,216000,0,0,0,396307.55,0,N
8320492,8320492,Vista,Premium ceased,41646,15/07/2014,JLFD,HKD,720,30/06/2014,15/07/2014,0,12000,Monthly,42371,42106,25,216000,0,0,0,396307.55,0,N
8324519,8324519,Pacific,In force,42370,42461,SL,USD,90,19/12/2015,42461,0,1250,Monthly,43103,42898,67,30000,0,1250,0,36785.01,0,N
8324519,8324519,Pacific,In force,42370,42461,SL,USD,90,19/12/2015,42461,0,1250,Monthly,43103,42898,67,30000,0,1250,0,36785.01,0,N
8326264,8326264,Pacific,In force,42379,29/09/2016,SL,USD,90,24/09/2016,29/09/2016,0,750,Monthly,43103,26/09/2016,65,8999.99,0,3000,750,10151.04,0,N
8328345,8328345,Pacific,In force,42370,31/12/2015,SL,HKD,720,26/12/2015,31/12/2015,0,8000,Monthly,43103,42898,63,192000,0,8000,0,238332.92,0,N
8328415,8328415,Vista,Premium ceased,41647,25/07/2014,SL,HKD,720,41705,25/07/2014,0,7000,Monthly,42744,42893,25,492000,0,0,0,743766.91,0,N
8332989,8332989,Pacific,In force,42379,42531,SL,USD,90,42439,42531,0,12000,Annual,43110,42988,62,23999.99,0,0,0,27479.19,0,N
8333039,8333039,Pacific,In force,42379,42714,SL,USD,90,42470,42714,0,750,Monthly,43103,42898,71,11250,0,750,0,12480.65,0,N
8333039,8333039,Pacific,In force,42379,42714,SL,USD,90,42470,42714,0,750,Monthly,43103,42898,71,11250,0,750,0,12480.65,0,N
8333357,8333357,Pacific,In force,42380,16/10/2016,SL,USD,90,42500,16/10/2016,0,36000,Annual,43111,42897,58,71999.98,0,0,0,100038.52,0,N
8333366,8333366,Pacific,In force,42379,42714,SL,USD,90,42500,42714,0,12000,Annual,43110,42988,63,24000,0,0,0,27470.04,0,N
8335128,8335128,Vista,In force,41647,24/07/2014,SL,HKD,720,17/07/2014,24/07/2014,0,90000,6 Monthly,43108,42833,25,630000,0,0,0,899517.19,0,N
8335131,8335131,Pacific,In force,42379,42714,JLFD,USD,90,42531,42714,0,36000,Annual,43110,42988,63,71999.97,0,0,0,99969.33,0,N
8335131,8335131,Pacific,In force,42379,42714,JLFD,USD,90,42531,42714,0,36000,Annual,43110,42988,63,71999.97,0,0,0,99969.33,0,N
8335446,8335446,Vista,Premium ceased,41647,25/07/2014,SL,HKD,720,15/07/2014,25/07/2014,0,7000,Monthly,42373,42462,25,133000,0,0,0,227080.96,0,N
8336686,8336686,Pacific,In force,42738,28/02/2017,SL,USD,90,21/02/2017,28/02/2017,0,9000,Annual,43103,27/02/2017,66,9000,0,0,0,10232.95,0,N
8337155,8337155,Vista,In force,41647,22/07/2014,SL,HKD,720,41980,22/07/2014,0,2400,Monthly,43103,42898,25,235200,0,2400,0,387976.37,0,N
8337253,8337253,Vista,In force,41647,22/07/2014,SL,HKD,720,41980,22/07/2014,0,7500,Monthly,43103,43081,15,307500,0,7500,0,393252.94,0,N
8339097,8339097,Pacific,In force,42380,16/10/2016,SL,USD,90,42561,16/10/2016,0,1500,Monthly,43103,28/12/2017,64,19499.99,0,3000,0,24597.54,0,N
8347784,8347784,Pacific,In force,42380,27/10/2016,SL,HKD,720,19/10/2016,27/10/2016,0,32000,Monthly,43103,42898,61,448000,0,32000,0,752643.03,0,N
8347792,8347792,Pacific,In force,42380,31/10/2016,SL,HKD,720,19/10/2016,31/10/2016,0,32000,Monthly,43103,42898,64,448000,0,32000,0,752300.81,0,N
8348381,8348381,Pacific,In force,42380,42532,SL,USD,90,20/10/2016,42532,0,36000,Annual,43111,42897,64,71999.97,0,0,0,99701.89,0,N
8349637,8349637,Pacific,In force,42380,30/10/2016,SL,USD,90,25/10/2016,30/10/2016,0,550,Monthly,43103,25/10/2016,65,6600,0,1650,0,6536.09,0,N
8351994,8351994,Pacific,In force,42380,42654,SL,USD,90,28/10/2016,42654,0,6000,Annual,43111,28/10/2016,63,6000,0,6000,0,5816.48,0,N
8351994,8351994,Pacific,In force,42380,42654,SL,USD,90,28/10/2016,42654,0,6000,Annual,43111,28/10/2016,63,6000,0,6000,0,5816.48,0,N
8352316,8352316,Vista,Premium ceased,41648,14/09/2014,SL,HKD,720,13/08/2014,14/09/2014,0,5600,Monthly,42373,25/01/2016,25,100800,0,0,0,176724.27,0,N
8354241,8354241,Pacific,In force,42380,42532,SL,USD,90,29/10/2016,42532,0,750,Monthly,43103,28/12/2017,65,11250,0,0,0,12450.34,0,N
8358323,8358323,Vista,Premium ceased,41648,31/08/2014,SL,HKD,720,21/08/2014,31/08/2014,0,32500,Monthly,42374,42462,25,585000,0,0,0,1021262.45,0,N
